word,tbcl_level,cefr,category,zhuyin,pinyin,written_freq_per_million,spoken_freq_per_million
改造,5,B2,社會,ㄍㄞˇ ㄗㄠˋ,gǎi zào,26,43
概況,5,B2,核心詞,ㄍㄞˋ ㄎㄨㄤˋ,gài kuàng,2,1
蓋章,5,B2,核心詞,ㄍㄞˋ ㄓㄤ,gài zhāng,2,2
肝,5,B2,身體、醫療,ㄍㄢ,gān,25,30
乾脆,5,B2,核心詞,ㄍㄢ ㄘㄨㄟˋ,gān cuì,34,25
尷尬,5,B2,情緒、態度,ㄍㄢ ㄍㄚˋ,gān gà,30,10
干擾,5,B2,核心詞,ㄍㄢ ㄖㄠˇ,gān rǎo,35,26
感恩,5,B2,核心詞,ㄍㄢˇ ㄣ,gǎn ēn,20,202
感激,5,B2,核心詞,ㄍㄢˇ ㄐㄧ,gǎn jī,41,12
趕忙,5,B2,核心詞,ㄍㄢˇ ㄇㄤˊ,gǎn máng,14,2
感染,5,B2,身體、醫療,ㄍㄢˇ ㄖㄢˇ,gǎn rǎn,44,88
感人,5,B2,情緒、態度,ㄍㄢˇ ㄖㄣˊ,gǎn rén,10,12
感受,5,B2,核心詞,ㄍㄢˇ ㄕㄡˋ,gǎn shòu,116,151
感想,5,B2,教育、學習,ㄍㄢˇ ㄒㄧㄤˇ,gǎn xiǎng,10,10
幹,5,B2,核心詞,ㄍㄢˋ,gàn,83,24
幹部,5,B2,職業,ㄍㄢˋ ㄅㄨˋ,gàn bù,25,7
港口/港,5,B2,交通、旅遊,ㄍㄤˇ ㄎㄡˇ/ㄍㄤˇ,gǎng kǒu/gǎng,29,33
高層,5,B2,職業,ㄍㄠ ㄘㄥˊ,gāo céng,22,10
高等,5,B2,教育、學習,ㄍㄠ ㄉㄥˇ,gāo děng,17,10
高爾夫球,5,B2,休閒、娛樂,ㄍㄠ ㄦˇ ㄈㄨ ㄑㄧㄡˊ,gāo ěr fū qiú,8,1
高跟鞋,5,B2,購物、商店,ㄍㄠ ㄍㄣ ㄒㄧㄝˊ,gāo gēn xié,5,7
高貴,5,B2,情緒、態度,ㄍㄠ ㄍㄨㄟˋ,gāo guì,16,3
高階,5,B2,職業,ㄍㄠ ㄐㄧㄝ,gāo jiē,18,7
高明,5,B2,核心詞,ㄍㄠ ㄇㄧㄥˊ,gāo míng,20,4
高手,5,B2,職業,ㄍㄠ ㄕㄡˇ,gāo shǒu,41,10
搞,5,B2,核心詞,ㄍㄠˇ,gǎo,95,50
搞不好,5,B2,核心詞,ㄍㄠˇ ㄅㄨˋ ㄏㄠˇ,gǎo bù hǎo,8,18
搞定,5,B2,核心詞,ㄍㄠˇ ㄉㄧㄥˋ,gǎo dìng,6,3
告,5,B2,安全,ㄍㄠˋ,gào,29,9
告白,5,B2,社交、人際,ㄍㄠˋ ㄅㄞˊ,gào bái,4,1
告別,5,B2,社交、人際,ㄍㄠˋ ㄅㄧㄝˊ,gào bié,17,13
告知,5,B2,核心詞,ㄍㄠˋ ㄓ,gào zhī,23,7
割,5,B2,餐飲、烹飪,ㄍㄜ,gē,18,51
歌曲,5,B2,休閒、娛樂,ㄍㄜ ㄑㄩˇ,gē qǔ,20,17
歌星,5,B2,休閒、娛樂,ㄍㄜ ㄒㄧㄥ,gē xīng,5,2
格,5,B2,休閒、娛樂,ㄍㄜˊ,gé,20,31
隔,5,B2,核心詞,ㄍㄜˊ,gé,42,35
革命,5,B2,社會,ㄍㄜˊ ㄇㄧㄥˋ,gé mìng,81,38
隔天,5,B2,核心詞,ㄍㄜˊ ㄊㄧㄢ,gé tiān,30,26
格外,5,B2,核心詞,ㄍㄜˊ ㄨㄞˋ,gé wài,19,13
個別,5,B2,核心詞,ㄍㄜˋ ㄅㄧㄝˊ,gè bié,32,7
各行各業,5,B2,職業,ㄍㄜˋ ㄏㄤˊ ㄍㄜˋ ㄧㄝˋ,gè háng gè yè,5,5
跟隨,5,B2,核心詞,ㄍㄣ ㄙㄨㄟˊ,gēn suí,27,13
根源,5,B2,核心詞,ㄍㄣ ㄩㄢˊ,gēn yuán,17,5
更改,5,B2,核心詞,ㄍㄥ ㄍㄞˇ,gēng gǎi,8,5
更換,5,B2,核心詞,ㄍㄥ ㄏㄨㄢˋ,gēng huàn,12,10
更加,5,B2,核心詞,ㄍㄥˋ ㄐㄧㄚ,gèng jiā,103,94
公布/公佈,5,B2,教育、學習,ㄍㄨㄥ ㄅㄨˋ,gōng bù,19,37
工程,5,B2,職業,ㄍㄨㄥ ㄔㄥˊ,gōng chéng,57,82
攻打,5,B2,安全,ㄍㄨㄥ ㄉㄚˇ,gōng dǎ,26,13
工夫,5,B2,核心詞,ㄍㄨㄥ ㄈㄨ/ㄍㄨㄥ ˙ㄈㄨ,gōng fū/gōng fu,23,5
公公,5,B2,個人資料,ㄍㄨㄥ ˙ㄍㄨㄥ,gōng gong,9,21
攻擊,5,B2,安全,ㄍㄨㄥ ㄐㄧˊ,gōng jí,116,138
供給,5,B2,職業,ㄍㄨㄥ ㄐㄧˇ,gōng jǐ,10,8
公克,5,B2,核心詞,ㄍㄨㄥ ㄎㄜˋ,gōng kè,9,13
功勞,5,B2,社會,ㄍㄨㄥ ㄌㄠˊ,gōng láo,18,4
公立,5,B2,教育、學習,ㄍㄨㄥ ㄌㄧˋ,gōng lì,9,7
公民,5,B2,社會,ㄍㄨㄥ ㄇㄧㄣˊ,gōng mín,20,22
公升,5,B2,核心詞,ㄍㄨㄥ ㄕㄥ,gōng shēng,5,22
公事,5,B2,社會,ㄍㄨㄥ ㄕˋ,gōng shì,10,3
功效,5,B2,身體、醫療,ㄍㄨㄥ ㄒㄧㄠˋ,gōng xiào,22,19
供應,5,B2,職業,ㄍㄨㄥ ㄧㄥˋ,gōng yìng,39,39
功用,5,B2,核心詞,ㄍㄨㄥ ㄩㄥˋ,gōng yòng,7,12
公眾,5,B2,社會,ㄍㄨㄥ ㄓㄨㄥˋ,gōng zhòng,17,5
公主,5,B2,文化,ㄍㄨㄥ ㄓㄨˇ,gōng zhǔ,72,7
工資,5,B2,職業,ㄍㄨㄥ ㄗ,gōng zī,13,12
貢獻,5,B2,教育、學習,ㄍㄨㄥˋ ㄒㄧㄢˋ,gòng xiàn,66,49
構成,5,B2,核心詞,ㄍㄡˋ ㄔㄥˊ,gòu chéng,44,16
構想,5,B2,核心詞,ㄍㄡˋ ㄒㄧㄤˇ,gòu xiǎng,22,10
構造,5,B2,身體、醫療,ㄍㄡˋ ㄗㄠˋ,gòu zào,16,21
孤單,5,B2,核心詞,ㄍㄨ ㄉㄢ,gū dān,16,16
孤獨,5,B2,情緒、態度,ㄍㄨ ㄉㄨˊ,gū dú,29,16
孤兒,5,B2,核心詞,ㄍㄨ ㄦˊ,gū ér,24,14
估計,5,B2,交通、旅遊,ㄍㄨ ㄐㄧˋ,gū jì,27,45
姑娘,5,B2,核心詞,ㄍㄨ ㄋㄧㄤˊ / ㄍㄨ ˙ㄋㄧㄤ,gū niáng / gū niang,161,6
姑丈,5,B2,個人資料,ㄍㄨ ㄓㄤˋ,gū zhàng,1,1
骨頭/骨,5,B2,身體、醫療,ㄍㄨˊ ˙ㄊㄡ / ㄍㄨˇ,gú tou / gǔ,47,62
鼓,5,B2,休閒、娛樂,ㄍㄨˇ,gǔ,13,19
股,5,B2,,ㄍㄨˇ,gǔ,113,54
古典,5,B2,休閒、娛樂,ㄍㄨˇ ㄉㄧㄢˇ,gǔ diǎn,27,14
古典樂,5,B2,休閒、娛樂,ㄍㄨˇ ㄉㄧㄢˇ ㄩㄝˋ,gǔ diǎn yuè,1,1
古怪,5,B2,核心詞,ㄍㄨˇ ㄍㄨㄞˋ,gǔ guài,20,1
古跡/古蹟,5,B2,交通、旅遊,ㄍㄨˇ ㄐㄧ,gǔ jī,7,26
古老,5,B2,文化,ㄍㄨˇ ㄌㄠˇ,gǔ lǎo,41,37
股票,5,B2,社會,ㄍㄨˇ ㄆㄧㄠˋ,gǔ piào,49,7
古人,5,B2,文化,ㄍㄨˇ ㄖㄣˊ,gǔ rén,27,20
股市,5,B2,社會,ㄍㄨˇ ㄕˋ,gǔ shì,24,9
顧問,5,B2,職業,ㄍㄨˋ ㄨㄣˋ,gù wèn,43,5
故障,5,B2,公共服務,ㄍㄨˋ ㄓㄤˋ,gù zhàng,7,6
刮,5,B2,核心詞,ㄍㄨㄚ,guā,13,13
怪獸,5,B2,休閒、娛樂,ㄍㄨㄞˋ ㄕㄡˋ,guài shòu,21,1
關閉,5,B2,核心詞,ㄍㄨㄢ ㄅㄧˋ,guān bì,14,28
觀察,5,B2,核心詞,ㄍㄨㄢ ㄔㄚˊ,guān chá,167,186
觀點,5,B2,教育、學習,ㄍㄨㄢ ㄉㄧㄢˇ,guān diǎn,124,79
關懷,5,B2,核心詞,ㄍㄨㄢ ㄏㄨㄞˊ,guān huái,37,149
關鍵,5,B2,核心詞,ㄍㄨㄢ ㄐㄧㄢˋ,guān jiàn,107,70
觀看,5,B2,休閒、娛樂,ㄍㄨㄢ ㄎㄢˋ,guān kàn,33,4
關聯,5,B2,核心詞,ㄍㄨㄢ ㄌㄧㄢˊ,guān lián,35,11
觀賞,5,B2,休閒、娛樂,ㄍㄨㄢ ㄕㄤˇ,guān shǎng,18,19
關注,5,B2,核心詞,ㄍㄨㄢ ㄓㄨˋ,guān zhù,37,74
管道,5,B2,教育、學習,ㄍㄨㄢˇ ㄉㄠˋ,guǎn dào,31,26
管子,5,B2,日常起居,ㄍㄨㄢˇ ˙ㄗ,guǎn zi,8,10
冠軍,5,B2,休閒、娛樂,ㄍㄨㄢˋ ㄐㄩㄣ,guàn jūn,18,12
罐頭,5,B2,餐飲、烹飪,ㄍㄨㄢˋ ˙ㄊㄡ,guàn tou,9,4
光臨,5,B2,購物、商店,ㄍㄨㄤ ㄌㄧㄣˊ,guāng lín,7,5
光芒,5,B2,核心詞,ㄍㄨㄤ ㄇㄤˊ,guāng máng,23,9
光明,5,B2,文化,ㄍㄨㄤ ㄇㄧㄥˊ,guāng míng,30,16
廣,5,B2,核心詞,ㄍㄨㄤˇ,guǎng,46,27
廣播,5,B2,休閒、娛樂,ㄍㄨㄤˇ ㄅㄛˋ,guǎng bò,24,22
廣場,5,B2,日常起居,ㄍㄨㄤˇ ㄔㄤˇ,guǎng chǎng,27,32
廣大,5,B2,核心詞,ㄍㄨㄤˇ ㄉㄚˋ,guǎng dà,24,13
廣泛,5,B2,教育、學習,ㄍㄨㄤˇ ㄈㄢˋ,guǎng fàn,38,18
規矩,5,B2,文化,ㄍㄨㄟ ㄐㄩˇ,guī jǔ,31,15
規律,5,B2,教育、學習,ㄍㄨㄟ ㄌㄩˋ,guī lǜ,25,11
鬼臉,5,B2,核心詞,ㄍㄨㄟˇ ㄌㄧㄢˇ,guǐ liǎn,3,0
跪,5,B2,核心詞,ㄍㄨㄟˋ,guì,32,12
貴重,5,B2,核心詞,ㄍㄨㄟˋ ㄓㄨㄥˋ,guì zhòng,7,3
貴族,5,B2,文化,ㄍㄨㄟˋ ㄗㄨˊ,guì zú,34,8
滾,5,B2,核心詞,ㄍㄨㄣˇ,gǔn,29,18
棍子/棍,5,B2,安全,ㄍㄨㄣˋ ˙ㄗ/ㄍㄨㄣˋ,gùn zi/gùn,15,7
鍋,5,B2,餐飲、烹飪,ㄍㄨㄛ,guō,37,36
國會,5,B2,社會,ㄍㄨㄛˊ ㄏㄨㄟˋ,guó huì,22,68
國籍,5,B2,交通、旅遊,ㄍㄨㄛˊ ㄐㄧˊ,guó jí,4,7
國立,5,B2,教育、學習,ㄍㄨㄛˊ ㄌㄧˋ,guó lì,15,9
國民,5,B2,個人資料,ㄍㄨㄛˊ ㄇㄧㄣˊ,guó mín,45,31
國旗,5,B2,社會,ㄍㄨㄛˊ ㄑㄧˊ,guó qí,6,10
國王,5,B2,文化,ㄍㄨㄛˊ ㄨㄤˊ,guó wáng,80,43
國營,5,B2,社會,ㄍㄨㄛˊ ㄧㄥˊ,guó yíng,13,7
過程,5,B2,核心詞,ㄍㄨㄛˋ ㄔㄥˊ,guò chéng,306,462
過度,5,B2,身體、醫療,ㄍㄨㄛˋ ㄉㄨˋ,guò dù,78,46
過量,5,B2,身體、醫療,ㄍㄨㄛˋ ㄌㄧㄤˋ,guò liàng,9,6
過世,5,B2,個人資料,ㄍㄨㄛˋ ㄕˋ,guò shì,44,39
過頭,5,B2,核心詞,ㄍㄨㄛˋ ㄊㄡˊ,guò tóu,6,3
過癮,5,B2,核心詞,ㄍㄨㄛˋ ㄧㄣˇ,guò yǐn,7,4
過於,5,B2,核心詞,ㄍㄨㄛˋ ㄩˊ,guò yú,36,11
孩童,5,B2,核心詞,ㄏㄞˊ ㄊㄨㄥˊ,hái tóng,30,17
海岸,5,B2,自然環境,ㄏㄞˇ ㄢˋ,hǎi àn,16,102
海關,5,B2,交通、旅遊,ㄏㄞˇ ㄍㄨㄢ,hǎi guān,8,5
海浪,5,B2,自然環境,ㄏㄞˇ ㄌㄤˋ,hǎi làng,7,18
海峽,5,B2,自然環境,ㄏㄞˇ ㄒㄧㄚˊ,hǎi xiá,6,23
海運,5,B2,交通、旅遊,ㄏㄞˇ ㄩㄣˋ,hǎi yùn,3,3
害處,5,B2,身體、醫療,ㄏㄞˋ ㄔㄨˋ,hài chù,2,0
害羞,5,B2,社交、人際,ㄏㄞˋ ㄒㄧㄡ,hài xiū,28,16
含,5,B2,餐飲、烹飪,ㄏㄢˊ,hán,42,38
寒冷,5,B2,交通、旅遊,ㄏㄢˊ ㄌㄥˇ,hán lěng,15,27
罕見,5,B2,核心詞,ㄏㄢˇ ㄐㄧㄢˋ,hǎn jiàn,18,22
旱災,5,B2,交通、旅遊,ㄏㄢˋ ㄗㄞ,hàn zāi,3,10
航空,5,B2,交通、旅遊,ㄏㄤˊ ㄎㄨㄥ,háng kōng,24,25
行業,5,B2,職業,ㄏㄤˊ ㄧㄝˋ,háng yè,34,41
好比,5,B2,核心詞,ㄏㄠˇ ㄅㄧˇ,hǎo bǐ,21,16
好感,5,B2,情緒、態度,ㄏㄠˇ ㄍㄢˇ,hǎo gǎn,11,1
好手,5,B2,休閒、娛樂,ㄏㄠˇ ㄕㄡˇ,hǎo shǒu,6,8
好心,5,B2,核心詞,ㄏㄠˇ ㄒㄧㄣ,hǎo xīn,16,7
好意,5,B2,核心詞,ㄏㄠˇ ㄧˋ,hǎo yì,9,6
好在,5,B2,核心詞,ㄏㄠˇ ㄗㄞˋ,hǎo zài,8,10
好轉,5,B2,身體、醫療,ㄏㄠˇ ㄓㄨㄢˇ,hǎo zhuǎn,14,8
好客,5,B2,社交、人際,ㄏㄠˋ ㄎㄜˋ,hào kè,3,2
好奇心,5,B2,核心詞,ㄏㄠˋ ㄑㄧˊ ㄒㄧㄣ,hào qí xīn,19,5
合,5,B2,核心詞,ㄏㄜˊ,hé,38,33
何必,5,B2,核心詞,ㄏㄜˊ ㄅㄧˋ,hé bì,22,6
合成,5,B2,餐飲、烹飪,ㄏㄜˊ ㄔㄥˊ,hé chéng,16,21
合法,5,B2,社會,ㄏㄜˊ ㄈㄚˇ,hé fǎ,17,18
和好,5,B2,社交、人際,ㄏㄜˊ ㄏㄠˇ,hé hǎo,4,2
荷花,5,B2,自然環境,ㄏㄜˊ ㄏㄨㄚ,hé huā,4,0
合計,5,B2,核心詞,ㄏㄜˊ ㄐㄧˋ,hé jì,5,2
何況,5,B2,核心詞,ㄏㄜˊ ㄎㄨㄤˋ,hé kuàng,34,7
河流,5,B2,交通、旅遊,ㄏㄜˊ ㄌㄧㄡˊ,hé liú,14,42
核能,5,B2,科技,ㄏㄜˊ ㄋㄥˊ,hé néng,5,45
和諧,5,B2,核心詞,ㄏㄜˊ ㄒㄧㄝˊ,hé xié,31,19
核心,5,B2,核心詞,ㄏㄜˊ ㄒㄧㄣ,hé xīn,58,23
嘿,5,B2,核心詞,ㄏㄟ,hēi,20,11
黑白,5,B2,核心詞,ㄏㄟ ㄅㄞˊ,hēi bái,10,11
黑心,5,B2,安全,ㄏㄟ ㄒㄧㄣ,hēi xīn,2,3
黑夜,5,B2,核心詞,ㄏㄟ ㄧㄝˋ,hēi yè,18,7
痕跡,5,B2,自然環境,ㄏㄣˊ ㄐㄧ,hén jī,23,28
哼,5,B2,核心詞,ㄏㄥ,hēng,28,7
橫1,5,B2,核心詞,ㄏㄥˊ,héng,21,11
吼叫,5,B2,情緒、態度,ㄏㄡˇ ㄐㄧㄠˋ,hǒu jiào,7,1
後代,5,B2,個人資料,ㄏㄡˋ ㄉㄞˋ,hòu dài,24,23
後悔,5,B2,情緒、態度,ㄏㄡˋ ㄏㄨㄟˇ,hòu huǐ,29,23
後世,5,B2,教育、學習,ㄏㄡˋ ㄕˋ,hòu shì,18,5
後退,5,B2,核心詞,ㄏㄡˋ ㄊㄨㄟˋ,hòu tuì,8,2
後者,5,B2,核心詞,ㄏㄡˋㄓㄜˇ,hòu zhě,42,2
忽視,5,B2,核心詞,ㄏㄨ ㄕˋ,hū shì,24,11
壺,5,B2,餐飲、烹飪,ㄏㄨˊ,hú,21,55
蝴蝶,5,B2,自然環境,ㄏㄨˊ ㄉㄧㄝˊ,hú dié,22,42
狐狸,5,B2,自然環境,ㄏㄨˊ ˙ㄌㄧ,hú li,22,2
胡說,5,B2,核心詞,ㄏㄨˊ ㄕㄨㄛ,hú shuō,7,2
戶,5,B2,日常起居,ㄏㄨˋ,hù,40,66
戶頭,5,B2,公共服務,ㄏㄨˋ ㄊㄡˊ,hù tóu,3,2
互助,5,B2,社交、人際,ㄏㄨˋ ㄓㄨˋ,hù zhù,7,13
花朵,5,B2,自然環境,ㄏㄨㄚ ㄉㄨㄛˇ,huā duǒ,29,11
花心,5,B2,社交、人際,ㄏㄨㄚ ㄒㄧㄣ,huā xīn,2,1
划,5,B2,交通、旅遊,ㄏㄨㄚˊ,huá,10,4
滑動,5,B2,身體、醫療,ㄏㄨㄚˊ ㄉㄨㄥˋ,huá dòng,5,10
華僑,5,B2,個人資料,ㄏㄨㄚˊ ㄑㄧㄠˊ,huá qiáo,6,6
滑鼠,5,B2,核心詞,ㄏㄨㄚˊ ㄕㄨˇ,huá shǔ,5,3
划算,5,B2,核心詞,ㄏㄨㄚˊ ㄙㄨㄢˋ,huá suàn,3,4
華裔,5,B2,個人資料,ㄏㄨㄚˊ ㄧˋ,huá yì,6,2
劃,5,B2,核心詞,ㄏㄨㄚˋ,huà,9,7
化學,5,B2,教育、學習,ㄏㄨㄚˋ ㄒㄩㄝˊ,huà xué,57,164
懷抱,5,B2,核心詞,ㄏㄨㄞˊ ㄅㄠˋ,huái bào,18,10
懷念,5,B2,情緒、態度,ㄏㄨㄞˊ ㄋㄧㄢˋ,huái niàn,19,12
懷孕,5,B2,個人資料,ㄏㄨㄞˊ ㄩㄣˋ,huái yùn,35,16
壞蛋,5,B2,安全,ㄏㄨㄞˋ ㄉㄢˋ,huài dàn,10,3
歡樂,5,B2,核心詞,ㄏㄨㄢ ㄌㄜˋ,huān lè,27,11
歡喜,5,B2,核心詞,ㄏㄨㄢ ㄒㄧˇ,huān xǐ,24,35
歡笑,5,B2,核心詞,ㄏㄨㄢ ㄒㄧㄠˋ,huān xiào,9,5
緩慢,5,B2,核心詞,ㄏㄨㄢˇ ㄇㄢˋ,huǎn màn,27,15
患,5,B2,,ㄏㄨㄢˋ,huàn,23,4
幻想,5,B2,核心詞,ㄏㄨㄢˋ ㄒㄧㄤˇ,huàn xiǎng,37,5
病患,5,B2,身體、醫療,ㄅㄧㄥˋ ㄏㄨㄢˋ,huàn zhě/bìng huàn,189,106
皇帝,5,B2,文化,ㄏㄨㄤˊ ㄉㄧˋ,huáng dì,362,15
皇后,5,B2,文化,ㄏㄨㄤˊ ㄏㄡˋ,huáng hòu,90,5
黃昏,5,B2,核心詞,ㄏㄨㄤˊ ㄏㄨㄣ,huáng hūn,17,6
黃金,5,B2,公共服務,ㄏㄨㄤˊ ㄐㄧㄣ,huáng jīn,44,37
謊話,5,B2,核心詞,ㄏㄨㄤˇ ㄏㄨㄚˋ,huǎng huà,5,1
揮,5,B2,核心詞,ㄏㄨㄟ,huī,22,7
灰,5,B2,核心詞,ㄏㄨㄟ,huī,31,17
回復/回覆,5,B2,核心詞,ㄏㄨㄟˊ ㄈㄨˋ,huí fù,20,7
回味,5,B2,文化,ㄏㄨㄟˊ ㄨㄟˋ,huí wèi,6,4
回憶,5,B2,文化,ㄏㄨㄟˊ ㄧˋ,huí yì,78,42
回應,5,B2,核心詞,ㄏㄨㄟˊ ㄧㄥˋ,huí yìng,72,33
繪畫,5,B2,休閒、娛樂,ㄏㄨㄟˋ ㄏㄨㄚˋ,huì huà,24,15
匯款,5,B2,公共服務,ㄏㄨㄟˋ ㄎㄨㄢˇ,huì kuǎn,1,1
昏,5,B2,身體、醫療,ㄏㄨㄣ,hūn,7,2
葷,5,B2,餐飲、烹飪,ㄏㄨㄣ,hūn,3,15
昏倒,5,B2,身體、醫療,ㄏㄨㄣ ㄉㄠˇ,hūn dǎo,7,9
昏迷,5,B2,身體、醫療,ㄏㄨㄣ ㄇㄧˊ,hūn mí,11,3
婚事,5,B2,個人資料,ㄏㄨㄣ ㄕˋ,hūn shì,7,1
混,5,B2,餐飲、烹飪,ㄏㄨㄣˋ,hùn,28,17
混合,5,B2,餐飲、烹飪,ㄏㄨㄣˋ ㄏㄜˊ,hùn hé,22,17
混亂,5,B2,核心詞,ㄏㄨㄣˋ ㄌㄨㄢˋ,hùn luàn,44,18
活該,5,B2,核心詞,ㄏㄨㄛˊ ㄍㄞ,huó gāi,4,1
活躍,5,B2,個人資料,ㄏㄨㄛˊ ㄩㄝˋ,huó yuè,23,15
夥伴/伙伴,5,B2,核心詞,ㄏㄨㄛˇ ㄅㄢˋ,huǒ bàn,49,47
火光,5,B2,核心詞,ㄏㄨㄛˇ ㄍㄨㄤ,huǒ guāng,11,2
火山,5,B2,自然環境,ㄏㄨㄛˇ ㄕㄢ,huǒ shān,7,62
火災,5,B2,安全,ㄏㄨㄛˇ ㄗㄞ,huǒ zāi,9,24
貨車,5,B2,交通、旅遊,ㄏㄨㄛˋ ㄔㄜ,huò chē,10,11
獲得/獲,5,B2,教育、學習,ㄏㄨㄛˋ ㄉㄜˊ / ㄏㄨㄛˋ,huò dé / huò,225,120
獲利,5,B2,購物、商店,ㄏㄨㄛˋ ㄌㄧˋ,huò lì,24,5
獲勝,5,B2,休閒、娛樂,ㄏㄨㄛˋ ㄕㄥˋ,huò shèng,10,6
基本,5,B2,核心詞,ㄐㄧ ㄅㄣˇ,jī běn,193,282
基地,5,B2,核心詞,ㄐㄧ ㄉㄧˋ,jī dì,23,27
激動,5,B2,核心詞,ㄐㄧ ㄉㄨㄥˋ,jī dòng,42,12
飢餓/饑餓,5,B2,身體、醫療,ㄐㄧ ㄜˋ,jī è,18,20
機構,5,B2,職業,ㄐㄧ ㄍㄡˋ,jī gòu,75,52
基金,5,B2,公共服務,ㄐㄧ ㄐㄧㄣ,jī jīn,27,18
機率,5,B2,核心詞,ㄐㄧ ㄌㄩˋ,jī lǜ,59,32
肌肉,5,B2,身體、醫療,ㄐㄧ ㄖㄡˋ,jī ròu,78,34
績效,5,B2,職業,ㄐㄧ ㄒㄧㄠˋ,jī xiào,24,2
基因,5,B2,核心詞,ㄐㄧ ㄧㄣ,jī yīn,77,62
擊敗,5,B2,休閒、娛樂,ㄐㄧˊ ㄅㄞˋ,jí bài,18,6
疾病,5,B2,身體、醫療,ㄐㄧˊ ㄅㄧㄥˋ,jí bìng,122,111
嫉妒/忌妒,5,B2,情緒、態度,ㄐㄧˊ ㄉㄨˋ/ㄐㄧˋ ㄉㄨˋ,jí dù/jì dù,31,8
集合,5,B2,核心詞,ㄐㄧˊ ㄏㄜˊ,jí hé,16,25
急救,5,B2,身體、醫療,ㄐㄧˊ ㄐㄧㄡˋ,jí jiù,7,13
寂寞,5,B2,核心詞,ㄐㄧˊ ㄇㄛˋ,jí mò,39,10
集體,5,B2,教育、學習,ㄐㄧˊ ㄊㄧˇ,jí tǐ,30,14
集團,5,B2,職業,ㄐㄧˊ ㄊㄨㄢˊ,jí tuán,77,18
計,5,B2,核心詞,ㄐㄧˋ,jì,48,25
繫,5,B2,交通、旅遊,ㄐㄧˋ / ㄒㄧˋ,jì / xì,20,5
祭拜,5,B2,文化,ㄐㄧˋ ㄅㄞˋ,jì bài,6,6
繼承,5,B2,個人資料,ㄐㄧˋ ㄔㄥˊ,jì chéng,49,12
記號,5,B2,教育、學習,ㄐㄧˋ ㄏㄠˋ,jì hào,10,9
技能,5,B2,職業,ㄐㄧˋ ㄋㄥˊ,jì néng,29,13
既有,5,B2,核心詞,ㄐㄧˋ ㄧㄡˇ,jì yǒu,22,4
記載,5,B2,教育、學習,ㄐㄧˋ ㄗㄞˋ,jì zài,69,44
盡/儘,5,B2,核心詞,ㄐㄧㄣˋ/ㄐㄧㄣˇ,jìn/jǐn,88,62
佳,5,B2,核心詞,ㄐㄧㄚ,jiā,33,22
加倍,5,B2,核心詞,ㄐㄧㄚ ㄅㄟˋ,jiā bèi,9,7
加工,5,B2,職業,ㄐㄧㄚ ㄍㄨㄥ,jiā gōng,19,34
傢伙,5,B2,社交、人際,ㄐㄧㄚ ˙ㄏㄨㄛ,jiā huo,70,3
家家戶戶,5,B2,文化,ㄐㄧㄚ ㄐㄧㄚ ㄏㄨˋ ㄏㄨˋ,jiā jiā hù hù,5,11
佳節,5,B2,文化,ㄐㄧㄚ ㄐㄧㄝˊ,jiā jié,2,1
家境,5,B2,個人資料,ㄐㄧㄚ ㄐㄧㄥˋ,jiā jìng,7,9
家屬,5,B2,身體、醫療,ㄐㄧㄚ ㄕㄨˇ,jiā shǔ,21,48
加速,5,B2,核心詞,ㄐㄧㄚ ㄙㄨˋ,jiā sù,29,21
家園,5,B2,交通、旅遊,ㄐㄧㄚ ㄩㄢˊ,jiā yuán,12,40
家族,5,B2,個人資料,ㄐㄧㄚ ㄗㄨˊ,jiā zú,92,42
將,5,B2,核心詞,ㄐㄧㄤ/ㄐㄧㄤˋ/ㄑㄧㄤ,jiāng/jiàng/qiāng,1518,718
夾,5,B2,核心詞,ㄐㄧㄚˊ,jiá,37,22
假使,5,B2,核心詞,ㄐㄧㄚˇ ㄕˇ,jiǎ shǐ,11,9
架構,5,B2,教育、學習,ㄐㄧㄚˋ ㄍㄡˋ,jià gòu,35,10
駕駛/駕,5,B2,交通、旅遊,ㄐㄧㄚˋ ㄕˇ/ㄐㄧㄚˋ,jià shǐ/jià,45,23
價值觀,5,B2,個人資料,ㄐㄧㄚˋ ㄓˊ ㄍㄨㄢ,jià zhí guān,29,21
肩膀/肩,5,B2,身體、醫療,ㄐㄧㄢ ㄅㄤˇ/ㄐㄧㄢ,jiān bǎng/jiān,100,28
堅持,5,B2,核心詞,ㄐㄧㄢ ㄔˊ,jiān chí,119,132
堅定,5,B2,個人資料,ㄐㄧㄢ ㄉㄧㄥˋ,jiān dìng,37,28
監督,5,B2,職業,ㄐㄧㄢ ㄉㄨ,jiān dū,21,11
堅固,5,B2,核心詞,ㄐㄧㄢ ㄍㄨˋ,jiān gù,12,16
尖叫,5,B2,核心詞,ㄐㄧㄢ ㄐㄧㄠˋ,jiān jiào,23,2
堅決,5,B2,情緒、態度,ㄐㄧㄢ ㄐㄩㄝˊ,jiān jué,26,6
艱難,5,B2,核心詞,ㄐㄧㄢ ㄋㄢˊ,jiān nán,22,18
堅強,5,B2,情緒、態度,ㄐㄧㄢ ㄑㄧㄤˊ,jiān qiáng,27,28
監視,5,B2,安全,ㄐㄧㄢ ㄕˋ,jiān shì,17,6
兼職,5,B2,職業,ㄐㄧㄢ ㄓˊ,jiān zhí,4,3
